"Bio01" "Bio02" "Bio03" "Bio04" "Bio05" "Bio06" "Bio07" "Bio08" "Bio09" "Bio10" "Bio11" "Bio12" "Bio13" "Bio14" "Bio15" "Bio16" "Bio17" "Bio18" "Bio19" "Bio20" "Bio21" "bulk_dens" "cation_exchange_capacity" "vol_fraction_coarse" "clay_prop" "nitrogen" "org_C_dens" "org_C_stock" "soil_pH" "sand_prop" "silt_prop" "soil_org_carbon"
"Bio01" 1 0.152159701554642 -0.0208973167736583 0.0681696213050533 0.709376440811341 0.66523527114407 0.170907126899347 0.709695559771869 0.788821335697113 0.924371261487184 0.865367610486743 0.0533886829819764 0.12286779551086 -0.0175497659607909 0.212962534619901 0.144788694114689 -0.0380836893310112 -0.0883594992074765 0.106681906544804 0.303129753603208 -0.0899338535842792 0.270431329840076 -0.298460041152202 -0.146145133727398 -0.0552974676288151 -0.40417905822925 -0.439773598308155 -0.501752027464266 -0.0416735067536539 0.0413511585484656 -0.0165087568767162 -0.0695969130754207
"Bio02" 0.152159701554642 1 0.194586517460523 0.743472963161136 0.74286264819121 -0.588590334844106 0.953631409686932 0.493935857795102 -0.271542776539927 0.384405692086225 -0.232569987264957 -0.591784108605702 -0.540838079964317 -0.403787568527438 0.314667714535277 -0.536048830240818 -0.452112230804417 -0.322269036821259 -0.430659526578311 0.523470768868005 0.0315232347130026 0.475618251918097 0.210000110511536 -0.00649373404976758 -0.124236644454566 -0.150809222772884 -0.262609846537295 -0.224327369518019 0.732128071444643 0.492692468616693 -0.513921041291814 -0.269810027161791
"Bio03" -0.0208973167736583 0.194586517460523 1 -0.338216900175368 -0.0986283479084378 0.0219227451338854 -0.0927238008958513 -0.0297987526300007 -0.0292508238674055 -0.17877896751132 0.0862965215381563 0.303124170092759 0.186880450468715 0.336970785567947 -0.168921978033046 0.206468052143149 0.327796185714928 0.403352446238449 0.291413923675111 -0.170530585336657 -0.00197517870469042 -0.215307260206348 0.00213842244856684 -0.168250264907406 0.204736013177356 0.115204381884599 0.325882408507736 0.276714741875655 -0.205345995611115 -0.248912111954588 0.175951004482585 0.333121775618323
"Bio04" 0.0681696213050533 0.743472963161136 -0.338216900175368 1 0.608298873369282 -0.605370198005563 0.855265503678511 0.477846502296699 -0.363486394187078 0.401825538064658 -0.416804163683395 -0.799985090878926 -0.741901079013972 -0.515358077516473 0.240416798007213 -0.761216815380721 -0.555241742171775 -0.489271302821584 -0.613877600174073 0.431196331563332 0.202102962944589 0.602115549523409 0.315332264285123 0.02777086656047 -0.244234634848484 -0.165202727930112 -0.4132851128939 -0.386638175502972 0.829983902553013 0.685004929418891 -0.672427783966221 -0.419147911832936
"Bio05" 0.709376440811341 0.74286264819121 -0.0986283479084378 0.608298873369282 1 0.0135684536810275 0.797980621706737 0.749155936159994 0.313870404831929 0.868440313664311 0.364573703405198 -0.449056962247563 -0.314905488921005 -0.404882772874665 0.450922040461435 -0.306301709823676 -0.448939309950873 -0.399757520557208 -0.314483875230194 0.650123864980565 -0.0942715016543556 0.560128407014856 -0.0963950515484968 -0.0232182346157708 -0.210789508984714 -0.413676763743077 -0.556255620747422 -0.54095163911825 0.524740318889376 0.421128842461548 -0.377349471809082 -0.330503948364793
"Bio06" 0.66523527114407 -0.588590334844106 0.0219227451338854 -0.605370198005563 0.0135684536810275 1 -0.59180026340929 0.169723456334198 0.841596554313273 0.409204444641698 0.903062223424565 0.531879381796934 0.579981018188611 0.277751773759036 0.0050850076271309 0.592056853553529 0.297929771666568 0.197484290154065 0.428518483937793 -0.10565992532701 -0.18264588655428 -0.160471683104233 -0.47362694845846 -0.0969300104963728 0.04316654110823 -0.23135511200011 -0.123563865613313 -0.195955026170713 -0.619994656603758 -0.387768217008111 0.436975202866287 0.162860319119622
"Bio07" 0.170907126899347 0.953631409686932 -0.0927238008958513 0.855265503678511 0.797980621706737 -0.59180026340929 1 0.501639813761508 -0.254233317512648 0.453457536118422 -0.250406135351657 -0.682595475977381 -0.603440791214503 -0.493811544655351 0.360449863467739 -0.603783350508785 -0.541490170022684 -0.441299466776427 -0.511808588899966 0.587788423255924 0.0340899201418079 0.548274950118058 0.207763517040466 0.0397058722729087 -0.195947968480049 -0.194042530174902 -0.373953682564296 -0.317983296421457 0.796718760488299 0.573219614148039 -0.567585436673085 -0.364600883329621
"Bio08" 0.709695559771869 0.493935857795102 -0.0297987526300007 0.477846502296699 0.749155936159994 0.169723456334198 0.501639813761508 1 0.271356407426272 0.785672628349501 0.389358828690599 -0.405395257897929 -0.308950191482422 -0.348530099374188 0.297214039166498 -0.30536278137613 -0.369973176587921 -0.226539379331176 -0.403033337353169 0.402045271248453 -0.0951356456110448 0.524484416389979 -0.0596969962067953 -0.27106521389159 -0.193306633288595 -0.358648523933818 -0.464927098355931 -0.546903139674622 0.397758747424263 0.335029327322106 -0.285120408301264 -0.227949244662231
"Bio09" 0.788821335697113 -0.271542776539927 -0.0292508238674055 -0.363486394187078 0.313870404831929 0.841596554313273 -0.254233317512648 0.271356407426272 1 0.602843230514536 0.905543564113065 0.425192806201061 0.491401192117994 0.228858721375248 0.0732171612542388 0.502082163903996 0.230576659875672 0.0253733132510876 0.441024654808139 0.0377275277494677 -0.120779894953552 -0.0239320921836022 -0.400004364990796 0.0131641703394786 0.0402190140510035 -0.279181020991427 -0.256567993966688 -0.254052112884024 -0.417993399110033 -0.210838421112075 0.227918325682636 0.0477366942403527
"Bio10" 0.924371261487184 0.384405692086225 -0.17877896751132 0.401825538064658 0.868440313664311 0.409204444641698 0.453457536118422 0.785672628349501 0.602843230514536 1 0.659171716718456 -0.249027048012828 -0.115093052197964 -0.27254170744662 0.37599913271593 -0.107597316097489 -0.302794840908286 -0.316315825205299 -0.158515393211639 0.477608343567665 -0.0727758521735057 0.494560793281347 -0.234079233849718 -0.083298812030124 -0.183111880683085 -0.479038424528875 -0.595441513922989 -0.620345259482844 0.257025561176376 0.291477233230506 -0.239187856188607 -0.273026658496912
